Task ID,Start date ('YYYY-MM-DD'),End date  ('YYYY-MM-DD'),Start date since project start ,End date since project start 
719,'2017-04-03','2017-04-28',580,605
720,'2017-05-02','2017-05-26',609,633
721,'2017-01-03','2017-01-27',490,514
722,'2017-01-30','2017-02-24',517,542
723,'2017-02-27','2017-03-31',545,577
724,'2017-04-03','2017-04-28',580,605
725,'2017-05-02','2017-05-26',609,633
726,'2017-01-03','2017-01-27',490,514
727,'2017-01-30','2017-02-24',517,542
728,'2017-02-27','2017-03-31',545,577
729,'2017-04-03','2017-04-28',580,605
730,'2017-05-02','2017-05-26',609,633
731,'2017-05-30','2017-06-30',637,668
732,'2017-01-30','2017-02-24',517,542
733,'2017-02-27','2017-03-31',545,577
734,'2017-04-03','2017-04-28',580,605
735,'2017-05-02','2017-05-26',609,633
736,'2017-05-30','2017-06-30',637,668
738,'2017-07-03','2017-07-28',671,696
739,'2017-07-31','2017-08-25',699,724
